公	B-Effect
司	I-Effect
第	I-Effect
四	I-Effect
季	I-Effect
度	I-Effect
亏	I-Effect
损	I-Effect
较	I-Effect
大	I-Effect
原	B-T
因	I-T
为	O
该	B-Cause
等	I-Cause
产	I-Cause
品	I-Cause
需	I-Cause
求	I-Cause
的	I-Cause
增	I-Cause
长	I-Cause
,	O
一	B-Cause
季	I-Cause
度	I-Cause
业	I-Cause
务	I-Cause
规	I-Cause
模	I-Cause
扩	I-Cause
大	I-Cause
以	O
及	O
其	B-Cause
他	I-Cause
外	I-Cause
包	I-Cause
劳	I-Cause
工	I-Cause
成	I-Cause
本	I-Cause
、	I-Cause
物	I-Cause
业	I-Cause
、	I-Cause
厂	I-Cause
房	I-Cause
及	I-Cause
设	I-Cause
备	I-Cause
折	I-Cause
旧	I-Cause
(	O
销	B-Cause
售	I-Cause
费	I-Cause
用	I-Cause
增	I-Cause
长	I-Cause
较	I-Cause
快	I-Cause
)	O
外	B-Cause
购	I-Cause
煤	I-Cause
销	I-Cause
量	I-Cause
、	I-Cause
澳	I-Cause
大	I-Cause
利	I-Cause
亚	I-Cause
煤	I-Cause
炭	I-Cause
销	I-Cause
量	I-Cause
以	I-Cause
及	I-Cause
鄂	I-Cause
尔	I-Cause
多	I-Cause
斯	I-Cause
能	I-Cause
化	I-Cause
煤	I-Cause
炭	I-Cause
销	I-Cause
量	I-Cause
同	I-Cause
比	I-Cause
均	I-Cause
有	I-Cause
所	I-Cause
增	I-Cause
加	I-Cause
,	O
形	O
成	O
股	O
权	O
转	O
让	O
溢	O
价	O
5	O
7	O
2	O
3	O
.	O
3	O
9	O
万	O
元	O
